##|21:25:52.982 [go] Job Started: 2017-06-28 21:25:52 GMT
##|21:25:52.982 
pr|21:25:52.988 [go] Start to prepare Up1/1/defaultStage/1/defaultJob on cf09e90babf8 [/go]
pr|21:25:53.000 [go] Start to update materials.
pr|21:25:53.000 
pr|21:25:53.000 [go] Start updating files at revision 66d6927017afa3e3ed3c0c695da67e2733c709b6 from https://github.com/arvindsv/faketime.git
pe|21:25:53.004 STDERR: Cloning into '/go/pipelines/Up1'...
pr|21:25:54.005 [GIT] Fetching changes
pr|21:25:54.278 [GIT] Performing git gc
pr|21:25:54.381 [GIT] Reset working directory pipelines/Up1
pr|21:25:54.381 [GIT] Cleaning all unversioned files in working copy
pr|21:25:54.588 [GIT] Cleaning submodule configurations in .git/config
pr|21:25:54.691 [GIT] Updating working copy to revision 66d6927017afa3e3ed3c0c695da67e2733c709b6
pr|21:25:54.693 HEAD is now at 66d6927 Reformat README for line length
pr|21:25:54.794 [GIT] Removing modified files in submodules
pr|21:25:54.920 [GIT] Cleaning all unversioned files in working copy
pr|21:25:55.127 [go] Done.
pr|21:25:55.127 
pr|21:25:55.127 [go] overriding environment variable 'GO_SERVER_URL' with value 'https://172.17.0.2:8154/go'
pr|21:25:55.127 [go] setting environment variable 'GO_TRIGGER_USER' to value 'changes'
pr|21:25:55.127 [go] setting environment variable 'GO_PIPELINE_NAME' to value 'Up1'
pr|21:25:55.127 [go] setting environment variable 'GO_PIPELINE_COUNTER' to value '1'
pr|21:25:55.127 [go] setting environment variable 'GO_PIPELINE_LABEL' to value '1'
pr|21:25:55.127 [go] setting environment variable 'GO_STAGE_NAME' to value 'defaultStage'
pr|21:25:55.127 [go] setting environment variable 'GO_STAGE_COUNTER' to value '1'
pr|21:25:55.127 [go] setting environment variable 'GO_JOB_NAME' to value 'defaultJob'
pr|21:25:55.127 [go] setting environment variable 'GO_REVISION' to value '66d6927017afa3e3ed3c0c695da67e2733c709b6'
pr|21:25:55.127 [go] setting environment variable 'GO_TO_REVISION' to value '66d6927017afa3e3ed3c0c695da67e2733c709b6'
pr|21:25:55.127 [go] setting environment variable 'GO_FROM_REVISION' to value '66d6927017afa3e3ed3c0c695da67e2733c709b6'
pr|21:25:55.127 
##|21:25:55.143 [go] Start to build Up1/1/defaultStage/1/defaultJob on cf09e90babf8 [/go]
!!|21:25:55.143 [go] Task: find .
&1|21:25:55.152 .
&1|21:25:55.152 ./test_mac.sh
&1|21:25:55.152 ./test_linux_64.sh
&1|21:25:55.153 ./test_linux.sh
&1|21:25:55.153 ./lib
&1|21:25:55.153 ./lib/mac
&1|21:25:55.153 ./lib/mac/libfaketime.jnilib
&1|21:25:55.153 ./README.md
&1|21:25:55.153 ./.git
&1|21:25:55.154 ./.git/index
&1|21:25:55.154 ./.git/description
&1|21:25:55.154 ./.git/logs
&1|21:25:55.154 ./.git/logs/HEAD
&1|21:25:55.154 ./.git/logs/refs
&1|21:25:55.154 ./.git/logs/refs/remotes
&1|21:25:55.154 ./.git/logs/refs/remotes/origin
&1|21:25:55.155 ./.git/logs/refs/remotes/origin/HEAD
&1|21:25:55.155 ./.git/logs/refs/heads
&1|21:25:55.155 ./.git/logs/refs/heads/master
&1|21:25:55.155 ./.git/info
&1|21:25:55.155 ./.git/info/exclude
&1|21:25:55.155 ./.git/packed-refs
&1|21:25:55.155 ./.git/hooks
&1|21:25:55.155 ./.git/hooks/post-update.sample
&1|21:25:55.156 ./.git/hooks/prepare-commit-msg.sample
&1|21:25:55.156 ./.git/hooks/pre-commit.sample
&1|21:25:55.156 ./.git/hooks/pre-applypatch.sample
&1|21:25:55.156 ./.git/hooks/pre-push.sample
&1|21:25:55.156 ./.git/hooks/pre-rebase.sample
&1|21:25:55.156 ./.git/hooks/update.sample
&1|21:25:55.156 ./.git/hooks/pre-receive.sample
&1|21:25:55.156 ./.git/hooks/commit-msg.sample
&1|21:25:55.157 ./.git/hooks/applypatch-msg.sample
&1|21:25:55.157 ./.git/FETCH_HEAD
&1|21:25:55.157 ./.git/ORIG_HEAD
&1|21:25:55.157 ./.git/HEAD
&1|21:25:55.157 ./.git/objects
&1|21:25:55.157 ./.git/objects/info
&1|21:25:55.157 ./.git/objects/pack
&1|21:25:55.158 ./.git/objects/pack/pack-512e18aec1b3b7e01053e2293666dacd72e15475.pack
&1|21:25:55.158 ./.git/objects/pack/pack-512e18aec1b3b7e01053e2293666dacd72e15475.idx
&1|21:25:55.158 ./.git/refs
&1|21:25:55.158 ./.git/refs/tags
&1|21:25:55.158 ./.git/refs/remotes
&1|21:25:55.158 ./.git/refs/remotes/origin
&1|21:25:55.158 ./.git/refs/remotes/origin/HEAD
&1|21:25:55.159 ./.git/refs/heads
&1|21:25:55.159 ./.git/refs/heads/master
&1|21:25:55.159 ./.git/branches
&1|21:25:55.159 ./.git/config
&1|21:25:55.159 ./FakeTimeTest.java
&1|21:25:55.159 ./.gitignore
&1|21:25:55.159 ./src
&1|21:25:55.159 ./src/FakeTimeAgent.c
?0|21:25:55.253 [go] Task status: passed (110 ms)
j0|21:25:55.267 [go] Current job status: passed
##|21:25:55.277 [go] Start to create properties Up1/1/defaultStage/1/defaultJob on cf09e90babf8 [/go]
ar|21:25:55.277 [go] Start to upload Up1/1/defaultStage/1/defaultJob on cf09e90babf8 [/go]
ar|21:25:55.278 [go] Uploading artifacts from /go/pipelines/Up1/src to src
ex|21:25:55.419 [go] Job completed Up1/1/defaultStage/1/defaultJob on cf09e90babf8 [/go]
